Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
"Percentage of non-breastfed children age 6-23 months fed five or more food groups. The food groups are a. breastmilk b. infant formula, milk other than breast milk, cheese or yogurt or other milk products; c. foods made from grains, roots, and tubers, including porridge and fortified baby food from grains; d. vitamin A-rich fruits and vegetables (and red palm oil); e. other fruits and vegetables; f. eggs; g. meat, poultry, fish, and shellfish (and organ meats); h. legumes and nuts.",1,I,Percent,0,Among nonbreastfed: 5+ food groups,CN_IYCF_C_4FN,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFC4FN,,,CN_IYCF_C_NMN,Non-breastfed children 6-23 months fed 5+ food groups,104436070,Youngest non-breastfed children age 6-23 months,,,CN_IYCF_C_UNN,
Percentage of non-breastfed children age 6-23 months fed the minimum meal frequency defined as receiving solid or semi-solid food at least twice a day for infants 6-8 months and at least three times a day for children 9-23 months,1,I,Percent,0,Among nonbreastfed: Minimum meal frequency,CN_IYCF_C_MNN,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCMNN,,,CN_IYCF_C_NMN,Non-breastfed children 6-23 months fed the minimum meal frequency,104436080,Youngest non-breastfed children age 6-23 months,,,CN_IYCF_C_UNN,
Percentage of non-breastfed children age 6-23 months fed according to the 3 infant and young child feeding practices,1,I,Percent,0,Among nonbreastfed: With 3 IYCF practices,CN_IYCF_C_3PN,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFC3PN,,"77, 7, 6, 85",CN_IYCF_C_NMN,Non-breastfed children 6-23 months with 3 IYCF practices,104436090,Youngest non-breastfed children age 6-23 months,,,CN_IYCF_C_UNN,
Number of children age 6-23 months who are not currently breastfeeding,0,D,Number,0,Number of nonbreastfed children,CN_IYCF_C_NMN,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCNMN,,,,Number of nonbreastfed children 6-23 months,104436100,Youngest non-breastfed children age 6-23 months,,,CN_IYCF_C_UNN,
Number of children age 6-23 months who are not currently breastfeeding (unweighted),0,U,Number,0,Number of nonbreastfed children (unweighted),CN_IYCF_C_UNN,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCUNN,,,CN_IYCF_C_NMN,Number of nonbreastfed children 6-23 months (unweighted),104436110,Youngest non-breastfed children age 6-23 months,,,,
Percentage of children age 6-23 months fed milk or milk products,1,I,Percent,0,"Among all: Breast milk, milk, or milk products",CN_IYCF_C_MKA,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCMKA,,,CN_IYCF_C_NMA,"Children 6-23 months fed breastmilk, milk, or milk-products",104436120,Youngest children age 6-23 months,,,CN_IYCF_C_UNA,
"Percentage of children age 6-23 months fed five or more food groups. The food groups are a. breastmilk b. infant formula, milk other than breast milk, cheese or yogurt or other milk products; c. foods made from grains, roots, and tubers, including porridge and fortified baby food from grains; d. vitamin A-rich fruits and vegetables (and red palm oil); e. other fruits and vegetables; f. eggs; g. meat, poultry, fish, and shellfish (and organ meats); h. legumes and nuts.",1,I,Percent,0,Among all: 5+ food groups,CN_IYCF_C_4FA,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFC4FA,,"7, 6",CN_IYCF_C_NMA,Children 6-23 months fed 5+ food groups,104436130,Youngest children age 6-23 months,,,CN_IYCF_C_UNA,
Percentage of children age 6-23 months fed the minimum meal frequency defined as receiving solid or semi-solid food at least twice a day for infants 6-8 months and at least three times a day for children 9-23 months,1,I,Percent,0,Among all: Minimum meal frequency,CN_IYCF_C_MNA,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCMNA,,"7, 6",CN_IYCF_C_NMA,Children 6-23 months fed the minimum meal frequency,104436140,Youngest children age 6-23 months,,,CN_IYCF_C_UNA,
Percentage of children age 6-23 months fed according to the 3 infant and young child feeding practices,1,I,Percent,0,Among all: With 3 IYCF practices,CN_IYCF_C_3PA,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFC3PA,,"77, 7, 6",CN_IYCF_C_NMA,Children 6-23 months with 3 IYCF practices,104436150,Youngest children age 6-23 months,,,CN_IYCF_C_UNA,
Number of all children 6-23 months,0,D,Number,0,Number of children ,CN_IYCF_C_NMA,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCNMA,,,,Number of all children 6-23 months,104436160,Youngest children age 6-23 months,,,CN_IYCF_C_UNA,
Number of all children 6-23 months (unweighted),0,U,Number,0,Number of children (unweighted),CN_IYCF_C_UNA,Child Nutrition,,Infant and young child feeding practices,Children,CNIYCFCUNA,,,CN_IYCF_C_NMA,Number of all children 6-23 months (unweighted),104436170,Youngest children age 6-23 months,,,,
Percentage of children fed: breast milk only (exclusively breastfed),1,I,Percent,0,Breast milk only (exclusively breastfed),CN_IFPS_C_EBF,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCEBF,,,CN_IFPS_C_NUM,Breast milk only (exclusively breastfed),104446010,Number of youngest children 0-5 months living with their mother,,CN_IFPS_C_UNK,CN_IFPS_C_UNW,
Percentage of youngest children 6-23 months living with their mother who ate egg and/or flesh food,1,I,Percent,0,Children who ate egg and/or flesh food,CN_EFUF_C_EGF,Child Nutrition,,Egg and/or flesh food consumption and unhealthy feeding practices,Children,CNEFUFCEGF,,,CN_EFUF_C_NUM,Children who ate egg and/or flesh food,104446010,Youngest child 6-23 months living with their mother,,,CN_EFUF_C_UNW,
Percentage of children fed: breast milk and plain water only,1,I,Percent,0,Breast milk and plain water only,CN_IFPS_C_BMW,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCBMW,,,CN_IFPS_C_NUM,Breast milk and plain water only,104446020,Number of youngest children 0-5 months living with their mother,,CN_IFPS_C_UNK,CN_IFPS_C_UNW,
Percentage of youngest children 6-23 months living with their mother who ate sweet beverage,1,I,Percent,0,Children who ate sweet beverage,CN_EFUF_C_SWE,Child Nutrition,,Egg and/or flesh food consumption and unhealthy feeding practices,Children,CNEFUFCSWE,,,CN_EFUF_C_NUM,Children who ate sweet beverage,104446020,Youngest child 6-23 months living with their mother,,,CN_EFUF_C_UNW,
Percentage of children fed: breast milk and non-milk liquids,1,I,Percent,0,Breast milk and non-milk liquids,CN_IFPS_C_BML,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCBML,,,CN_IFPS_C_NUM,Breast milk and non-milk liquids,104446030,Number of youngest children 0-5 months living with their mother,,CN_IFPS_C_UNK,CN_IFPS_C_UNW,
Percentage of youngest children 6-23 months living with their mother who ate unhealthy food,1,I,Percent,0,Children who ate unhealthy food,CN_EFUF_C_UNH,Child Nutrition,,Egg and/or flesh food consumption and unhealthy feeding practices,Children,CNEFUFCUNH,,,CN_EFUF_C_NUM,Children who ate unhealthy food,104446030,Youngest child 6-23 months living with their mother,,,CN_EFUF_C_UNW,
Percentage of children fed: breast milk and formula and/or animal milk,1,I,Percent,0,Breast milk and formula and/or animal milk,CN_IFPS_C_BMF,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCBMF,,,CN_IFPS_C_NUM,Breast milk and formula and/or animal milk,104446040,Number of youngest children 0-5 months living with their mother,,CN_IFPS_C_UNK,CN_IFPS_C_UNW,
Percentage of youngest children 6-23 months living with their mother who ate zero vegetable or fruit,1,I,Percent,0,Children who ate zero vegetable or fruit,CN_EFUF_C_NVG,Child Nutrition,,Egg and/or flesh food consumption and unhealthy feeding practices,Children,CNEFUFCNVG,,,CN_EFUF_C_NUM,Children who ate zero vegetable or fruit,104446040,Youngest child 6-23 months living with their mother,,,CN_EFUF_C_UNW,
"Percentage of children fed: breast milk and solid, semi-solid, or soft foods",1,I,Percent,0,"Breast milk and solid, semi-solid, or soft foods",CN_IFPS_C_BMS,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCBMS,,,CN_IFPS_C_NUM,"Breast milk and solid, semi-solid, or soft foods",104446050,Number of youngest children 0-5 months living with their mother,,CN_IFPS_C_UNK,CN_IFPS_C_UNW,
Percentage of children fed: not breastfed,1,I,Percent,0,Not breastfed,CN_IFPS_C_NBM,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCNBM,,,CN_IFPS_C_NUM,Not breastfed,104446060,Number of youngest children 0-5 months living with their mother,,CN_IFPS_C_UNK,CN_IFPS_C_UNW,
Percentage of children fed: unknown,1,S,Percent,0,Unknown,CN_IFPS_C_UNK,Child Nutrition,CN_IFPS_C_TOT,Infant feeding practices by age,Children,CNIFPSCUNK,,,CN_IFPS_C_NUM,Unknown,104446097,Number of youngest children 0-5 months living with their mother,,,CN_IFPS_C_UNW,
Percentage of children fed: total,1,T,Percent,0,Total,CN_IFPS_C_TOT,Child Nutrition,,Infant feeding practices by age,Children,CNIFPSCTOT,,,CN_IFPS_C_NUM,Total,104446099,Number of youngest children 0-5 months living with their mother,,,CN_IFPS_C_UNW,
Number of youngest children 0-5 months living with their mother,0,D,Number,0,Number of youngest children 0-5 months living with their mother,CN_IFPS_C_NUM,Child Nutrition,,Infant feeding practices by age,Children,CNIFPSCNUM,,,,Number of youngest children 0-5 months living with their mother,104446100,Number of youngest children 0-5 months living with their mother,,,CN_IFPS_C_UNW,
Number of youngest children 6-23 months living with their mother,0,D,Number,0,Number of children 6-23 months,CN_EFUF_C_NUM,Child Nutrition,,Egg and/or flesh food consumption and unhealthy feeding practices,Children,CNEFUFCNUM,,,,Number of children 6-23 months,104446100,Youngest child 6-23 months living with their mother,,,CN_EFUF_C_UNW,
Number of youngest children 0-5 months living with their mother (unweighted),0,U,Number,0,Number of youngest children 0-5 months living with their mother (unweighted),CN_IFPS_C_UNW,Child Nutrition,,Infant feeding practices by age,Children,CNIFPSCUNW,,,CN_IFPS_C_NUM,Number of youngest children 0-5 months living with their mother (unweighted),104446101,Number of youngest children 0-5 months living with their mother,,,,
Number of youngest children 6-23 months living with their mother (unweighted),0,U,Number,0,Number of children 6-23 months (unweighted),CN_EFUF_C_UNW,Child Nutrition,,Egg and/or flesh food consumption and unhealthy feeding practices,Children,CNEFUFCUNW,,,CN_EFUF_C_NUM,Number of children 6-23 months (unweighted),104446101,Youngest child 6-23 months living with their mother,,,,
Percentage of children under age 5 classified as having any anemia,1,I,Percent,0,Any anemia (<11.0 g/dl),CN_ANMC_C_ANY,Child Nutrition,,Prevalence of anemia in children,Children,CNANMCCANY,147312001,"13, 77",CN_ANMC_C_NUM,Children with any anemia,104466010,Children age 6-59 months,,,CN_ANMC_C_UNW,
Percentage of children under age 5 classified as having mild (10.0-10.9 g/dl) anemia,1,I,Percent,0,Mild anemia (10.0-10.9 g/dl),CN_ANMC_C_MLD,Child Nutrition,,Prevalence of anemia in children,Children,CNANMCCMLD,147311001,13,CN_ANMC_C_NUM,Children with mild anemia,104466020,Children age 6-59 months,,,CN_ANMC_C_UNW,
Percentage of children under age 5 classified as having moderate (7.0-9.9 g/dl) anemia,1,I,Percent,0,Moderate anemia (7.0-9.9 g/dl),CN_ANMC_C_MOD,Child Nutrition,,Prevalence of anemia in children,Children,CNANMCCMOD,147311002,13,CN_ANMC_C_NUM,Children with moderate anemia,104466030,Children age 6-59 months,,,CN_ANMC_C_UNW,
Percentage of children under age 5 classified as having severe (below 7.0 g/dl) anemia,1,I,Percent,0,Severe anemia (<7.0 g/dl),CN_ANMC_C_SEV,Child Nutrition,,Prevalence of anemia in children,Children,CNANMCCSEV,147311003,13,CN_ANMC_C_NUM,Children with severe anemia,104466040,Children age 6-59 months,,,CN_ANMC_C_UNW,
Number of children under age 5 who stayed in the household the previous night and were tested for anemia,0,D,Number,0,Number of children,CN_ANMC_C_NUM,Child Nutrition,,Prevalence of anemia in children,Children,CNANMCCNUM,147328000,13,,Number of children under age 5,104466050,Children age 6-59 months,,,CN_ANMC_C_UNW,
Number of children under age 5 who stayed in the household the previous night and were tested for anemia (unweighted),0,U,Number,0,Number of children (unweighted),CN_ANMC_C_UNW,Child Nutrition,,Prevalence of anemia in children,Children,CNANMCCUNW,,13,CN_ANMC_C_NUM,Number of children under age 5 (unweighted),104466060,Children age 6-59 months,,,,
"Percentage of youngest children age 6-23 months living with the mother who consumed foods rich in vitamin A in the 24 hours preceding the survey. Food rich in vitamin A include meat (and organ meat), fish, poultry, eggs, pumpkin, red or yellow yams or squash, carrots, red sweet potatoes, dark green leafy vegetables, mango, papaya, and other locally grown fruits and vegetables that are rich in vitamin A.",1,I,Percent,0,Consumed foods rich in vitamin A in past 24 hours,CN_MIAC_C_VAF,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCVAF,,"39, 77",CN_MIAC_C_NM1,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,104506010,Youngest children age 6-23 months living with mother,,,CN_MIAC_C_UN1,
"Percentage of youngest children age 6-23 months living with the mother who consumed foods rich in iron in the 24 hours preceding the survey. Food rich in iron include meat (and organ meat), fish, poultry, eggs.",1,I,Percent,0,Consumed foods rich in iron in past 24 hours,CN_MIAC_C_IRF,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCIRF,,"39, 77",CN_MIAC_C_NM1,Children 6-23 months that consumed foods rich in iron in the last 24 hours,104506020,Youngest children age 6-23 months living with mother,,,CN_MIAC_C_UN1,
Number of youngest children age 6-23 months living with the mother,0,D,Number,0,Number of youngest children age 6-23 months living with mother,CN_MIAC_C_NM1,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCNM1,,39,,Number of youngest children age 6-23 months living with mother,104506030,Youngest children age 6-23 months living with mother,,,CN_MIAC_C_UN1,
Number of youngest children age 6-23 months living with the mother (unweighted),0,U,Number,0,Number of youngest children age 6-23 months living with mother (unweighted),CN_MIAC_C_UN1,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCUN1,,39,CN_MIAC_C_NM1,Number of youngest children age 6-23 months living with mother (unweighted),104506040,Youngest children age 6-23 months living with mother,,,,
Percentage of children age 6-23 months given multiple micronutrient powder in the last 7 days,1,I,Percent,0,Multiple micronutrient powder,CN_MIAC_C_MMN,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCMMN,,,CN_MIAC_C_NM4,Children 6-23 months given multiple micronutrient powder in the last 7 days,104506042,Children age 6-23 months,,,CN_MIAC_C_UN4,
Number of children age 6-23 months,0,D,Number,0,Number of children age 6-23 months,CN_MIAC_C_NM4,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCNM4,,,,Number of children age 6-23 months,104506044,Children age 6-23 months,,,CN_MIAC_C_UN4,
Number of children age 6-23 months (unweighted),0,U,Number,0,Number of children age 6-23 months (unweighted),CN_MIAC_C_UN4,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCUN4,,,CN_MIAC_C_NM4,Number of children age 6-23 months (unweighted),104506046,Children age 6-23 months,,,,
Percentage of children age 6-59 months who received vitamin A supplements in the six months preceding the survey,1,I,Percent,0,Given vitamin A supplements in past 6 months,CN_MIAC_C_VAS,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCVAS,145313003,"39, 77",CN_MIAC_C_NM2,Children consuming vitamin A supplements,104506050,Children age 6-59 months ,,,CN_MIAC_C_UN2,
Percentage of children age 6-59 months who were given iron supplements in the seven days preceding the survey,1,I,Percent,0,Given iron supplements in past 7 days,CN_MIAC_C_IRS,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCIRS,,39,CN_MIAC_C_NM2,Children given iron supplements in past 7 days,104506060,Children age 6-59 months ,,,CN_MIAC_C_UN2,
Percentage of children age 6-59 months who were given deworming medication in the six months preceding the survey,1,I,Percent,0,Given deworming medication in past 6 months,CN_MIAC_C_DWM,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCDWM,,39,CN_MIAC_C_NM2,Children given deworming medication in past 6 months,104506070,Children age 6-59 months ,,,CN_MIAC_C_UN2,
Number of children age 6-59 months,0,D,Number,0,Number of all children age 6-59 months,CN_MIAC_C_NM2,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCNM2,145313004,39,,Number of children age 6-59 months,104506080,Children age 6-59 months ,,,CN_MIAC_C_UN2,
Number of children age 6-59 months (unweighted),0,U,Number,0,Number of all children age 6-59 months (unweighted),CN_MIAC_C_UN2,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCUN2,,39,CN_MIAC_C_NM2,Number of children age 6-59 months (unweighted),104506090,Children age 6-59 months ,,,,
Percentage of children under five living in households using adequately iodized salt,1,I,Percent,0,Living in households with iodized salt,CN_MIAC_C_IOD,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCIOD,145313005,39,CN_MIAC_C_NM3,Children under five living in households using adequately iodized salt,104506100,Children age 6-59 months living in household tested for iodized salt,,,CN_MIAC_C_UN3,
Number of children under five,0,D,Number,0,Number of children age 6-59 months living in households tested for iodized salt,CN_MIAC_C_NM3,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCNM3,145313006,39,,Number of children under five,104506110,Children age 6-59 months living in household tested for iodized salt,,,CN_MIAC_C_UN3,
Number of children under five (unweighted),0,U,Number,0,Number of children age 6-59 months living in households tested for iodized salt (unweighted),CN_MIAC_C_UN3,Child Nutrition,,Micronutrient intake among children,Children,CNMIACCUN3,,39,CN_MIAC_C_NM3,Number of children under five (unweighted),104506120,Children age 6-59 months living in household tested for iodized salt,,,,
Percentage of women whose youngest child age 6-23 months is living with them who were counseled in last 6 months about how or what to feed their child,1,I,Percent,0,Counseled in last 6 months about how or what to feed their child,CN_IYCC_W_COU,Child Nutrition,,Infant and young child feeding counseling,Women,CNIYCCWCOU,,,CN_IYCC_W_NMA,Women counseled in last 6 months about how or what to feed their child,104513010,Number of women whose youngest child age 6-23 months is living with them,,,CN_IYCC_W_UNA,
Number of women whose youngest child age 6-23 months is living with them,0,D,Number,0,Number of women,CN_IYCC_W_NMA,Child Nutrition,,Infant and young child feeding counseling,Women,CNIYCCWNMA,,,,Number of women,104513100,Number of women whose youngest child age 6-23 months is living with them,,,CN_IYCC_W_UNA,
Number of women whose youngest child age 6-23 months is living with them (unweighted),0,U,Number,0,Number of women (unweighted),CN_IYCC_W_UNA,Child Nutrition,,Infant and young child feeding counseling,Women,CNIYCCWUNA,,,CN_IYCC_W_NMA,Number of women (unweighted),104513101,Number of women whose youngest child age 6-23 months is living with them,,,,
Percentage of households with salt tested for iodine content,1,I,Percent,0,With salt tested,CN_IODZ_H_SLT,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHSLT,144330001,34,CN_IODZ_H_NM1,Households with salt tested for iodine content,104531010,All households,,,CN_IODZ_H_UN1,
"Percentage of households with salt, but the salt was not tested for iodine content",1,I,Percent,0,"With salt, but not tested",CN_IODZ_H_SLN,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHSLN,,,CN_IODZ_H_NM1,"Households with salt, but not tested",104531015,All households,,,CN_IODZ_H_UN1,
Percentage of households with no salt,1,I,Percent,0,With no salt in the household,CN_IODZ_H_NSL,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHNSL,144323001,34,CN_IODZ_H_NM1,Households with no salt,104531020,All households,,,CN_IODZ_H_UN1,
Number of households,0,D,Number,0,Number of households,CN_IODZ_H_NM1,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHNM1,144332001,34,,Number of households,104531030,All households,,,CN_IODZ_H_UN1,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),CN_IODZ_H_UN1,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHUN1,,34,CN_IODZ_H_NM1,Number of households (unweighted),104531040,All households,,,,
Percentage of households with iodized salt,1,I,Percent,0,Households with iodized salt,CN_IODZ_H_IOD,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHIOD,144324002,"34, 77, 7, 85",CN_IODZ_H_NM2,Households with iodized salt,104531050,All households with tested salt,,,CN_IODZ_H_UN2,
Number of households with salt tested,0,D,Number,0,Number of households with tested salt,CN_IODZ_H_NM2,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHNM2,144329000,34,,Number of households with salt tested,104531060,All households with tested salt,,,CN_IODZ_H_UN2,
Number of households with salt tested (unweighted),0,U,Number,0,Number of households with tested salt (unweighted),CN_IODZ_H_UN2,Child Nutrition,,Presence of iodized salt in household ,Households,CNIODZHUN2,,34,CN_IODZ_H_NM2,Number of households with salt tested (unweighted),104531070,All households with tested salt,,,,
Percentage of children age 6-35 months who received PLUMPY' NUT in the past 7 days,1,I,Percent,0,Received Plumpy Nut,CN_THSF_C_PLN,Child Nutrition,,Therapeutic and supplemental foods,Children,CNTHSFCPLN,,,CN_THSF_C_NUM,Children who received PLUMPY' NUT in the past 7 days,104546010,Children age 6-35 months,,,CN_THSF_C_UNW,
Percentage of children age 6-35 months who received PLUMPY' DOZ in the past 7 days,1,I,Percent,0,Received Plumpy Doz,CN_THSF_C_PLD,Child Nutrition,,Therapeutic and supplemental foods,Children,CNTHSFCPLD,,,CN_THSF_C_NUM,Children who received PLUMPY' DOZ in the past 7 days,104546020,Children age 6-35 months,,,CN_THSF_C_UNW,
Number of children 6-35 months,0,D,Number,0,Number of children,CN_THSF_C_NUM,Child Nutrition,,Therapeutic and supplemental foods,Children,CNTHSFCNUM,,,,Number of children 6-35 months,104546030,Children age 6-35 months,,,CN_THSF_C_UNW,
Number of children 6-35 months (unweighted),0,U,Number,0,Number of children (unweighted),CN_THSF_C_UNW,Child Nutrition,,Therapeutic and supplemental foods,Children,CNTHSFCUNW,,,CN_THSF_C_NUM,Number of children 6-35 months (unweighted),104546040,Children age 6-35 months,,,,
Percentage of women age 15-49 with height below 145 cm,1,I,Percent,0,Height below 145 cm,AN_NUTS_W_SHT,Adult Nutrition,,Nutritional status,Women,ANNUTSWSHT,,14,AN_NUTS_W_NM1,Women with height below 145 cm,114563010,Women interviewed,,,AN_NUTS_W_UN1,
Number of women,0,D,Number,0,Number of women,AN_NUTS_W_NM1,Adult Nutrition,,Nutritional status,Women,ANNUTSWNM1,,14,,Number of women,114563020,Women interviewed,,,AN_NUTS_W_UN1,
Number of women (unweighted),0,U,Number,0,Number of women (unweighted),AN_NUTS_W_UN1,Adult Nutrition,,Nutritional status,Women,ANNUTSWUN1,,14,AN_NUTS_W_NM1,Number of women (unweighted),114563030,Women interviewed,,,,
Mean Body Mass Index (BMI) for women excluding pregnant women and women with a birth in the 2 months preceding the survey,1,I,Mean,0,Mean Body Mass Index (BMI),AN_NUTS_W_BMI,Adult Nutrition,,Nutritional status,Women,ANNUTSWBMI,,"14, 77",AN_NUTS_W_NUM,Mean Body Mass Index (BMI) for women,114563040,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women with normal BMI (18.5-24.9),1,I,Percent,0,BMI: Normal: 18.5-24.9 (total normal),AN_NUTS_W_NRM,Adult Nutrition,,Nutritional status,Women,ANNUTSWNRM,,14,AN_NUTS_W_NUM,Women with normal BMI (18.5-24.9),114563050,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women who are thin according to BMI (<18.5),1,I,Percent,0,BMI: Thin: <18.5 (total thin),AN_NUTS_W_THN,Adult Nutrition,,Nutritional status,Women,ANNUTSWTHN,,"14, 77, 85",AN_NUTS_W_NUM,Women who are thin according to BMI (<18.5),114563060,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women who are mildly thin according to BMI (17.0-18.4),1,I,Percent,0,BMI: Thin: 17.0-18.4 (mildly thin),AN_NUTS_W_TH1,Adult Nutrition,,Nutritional status,Women,ANNUTSWTH1,,14,AN_NUTS_W_NUM,Women who are mildly thin according to BMI (17.0-18.4),114563070,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women who are moderately thin according to BMI (<17.0),1,I,Percent,0,BMI: Thin: <17 (moderately and severely thin),AN_NUTS_W_TH2,Adult Nutrition,,Nutritional status,Women,ANNUTSWTH2,,14,AN_NUTS_W_NUM,Women who are moderately thin according to BMI (<17.0),114563080,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women who are overweight or obese according to BMI (>=25.0),1,I,Percent,0,BMI: Overwieght: >= 25.0 (total overweight or obese),AN_NUTS_W_OWT,Adult Nutrition,,Nutritional status,Women,ANNUTSWOWT,,"14, 77, 85",AN_NUTS_W_NUM,Women who are overweight or obese according to BMI (>=25.0),114563090,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women who are overweight according to BMI (25.0-29.9),1,I,Percent,0,BMI: Overwieght: 25.0-29.9 (overweight),AN_NUTS_W_OVW,Adult Nutrition,,Nutritional status,Women,ANNUTSWOVW,,14,AN_NUTS_W_NUM,Women who are overweight according to BMI (25.0-29.9),114563100,Women interviewed,,,AN_NUTS_W_UNW,
Percentage of women who are obese according to BMI (>=30.0),1,I,Percent,0,BMI: Overwieght: >=30.0 (obese),AN_NUTS_W_OBS,Adult Nutrition,,Nutritional status,Women,ANNUTSWOBS,,"14, 89",AN_NUTS_W_NUM,Women who are obese according to BMI (>=30.0),114563110,Women interviewed,,,AN_NUTS_W_UNW,
Number of women (excluding pregnant women and women with a birth in the 2 months preceding the survey),0,D,Number,0,Number of women,AN_NUTS_W_NUM,Adult Nutrition,,Nutritional status,Women,ANNUTSWNUM,,14,,Number of women,114563120,Women interviewed,,,AN_NUTS_W_UNW,
Number of women (excluding pregnant women and women with a birth in the 2 months preceding the survey) (unweighted),0,U,Number,0,Number of women (unweighted),AN_NUTS_W_UNW,Adult Nutrition,,Nutritional status,Women,ANNUTSWUNW,,14,AN_NUTS_W_NUM,Number of women (unweighted),114563130,Women interviewed,,,,
Percentage of men age 15-49 with height below 145 cm,1,I,Percent,0,Height below 145 cm,AN_NUTS_M_SHT,Adult Nutrition,,Nutritional status,Men,ANNUTSMSHT,,14,AN_NUTS_M_NM1,Men with height below 145 cm,114564140,Men interviewed,,,AN_NUTS_M_UN1,
Number of men,0,D,Number,0,Number of men,AN_NUTS_M_NM1,Adult Nutrition,,Nutritional status,Men,ANNUTSMNM1,,14,,Number of men,114564150,Men interviewed,,,AN_NUTS_M_UN1,
Number of men (unweighted),0,U,Number,0,Number of men (unweighted),AN_NUTS_M_UN1,Adult Nutrition,,Nutritional status,Men,ANNUTSMUN1,,14,AN_NUTS_M_NM1,Number of men (unweighted),114564160,Men interviewed,,,,
Mean Body Mass Index (BMI) for men,1,I,Mean,0,Mean Body Mass Index (BMI),AN_NUTS_M_BMI,Adult Nutrition,,Nutritional status,Men,ANNUTSMBMI,,14,AN_NUTS_M_NUM,Mean Body Mass Index (BMI) for men,114564170,Men interviewed,,,AN_NUTS_M_UNW,
Percentage of men with normal BMI (18.5-24.9),1,I,Percent,0,BMI: Normal: 18.5-24.9 (total normal),AN_NUTS_M_NRM,Adult Nutrition,,Nutritional status,Men,ANNUTSMNRM,,14,AN_NUTS_M_NUM,Men with normal BMI (18.5-24.9),114564180,Men interviewed,,,AN_NUTS_M_UNW,
Percentage of men who are thin according to BMI (<18.5),1,I,Percent,0,BMI: Thin: <18.5 (total thin),AN_NUTS_M_THN,Adult Nutrition,,Nutritional status,Men,ANNUTSMTHN,,"14, 85",AN_NUTS_M_NUM,Men who are thin according to BMI (<18.5),114564190,Men interviewed,,,AN_NUTS_M_UNW,
Percentage of men who are mildly thin according to BMI (17.0-18.4),1,I,Percent,0,BMI: Thin: 17.0-18.4 (mildly thin),AN_NUTS_M_TH1,Adult Nutrition,,Nutritional status,Men,ANNUTSMTH1,,14,AN_NUTS_M_NUM,Men who are mildly thin according to BMI (17.0-18.4),114564200,Men interviewed,,,AN_NUTS_M_UNW,
